proposition_id,blind_item_id,atomic_proposition,coder01_label,coder01_rationale,coder01_confidence,coder01_completed_at,coder02_label,coder02_rationale,coder02_confidence,coder02_completed_at,initial_agreement,final_label,final_label_basis
SF-001-P01,SF-001,Sharp braking noise was one of the participant's strongest triggers.,supported,The participant explicitly names sharp braking noise as one of the strongest triggers.,3,2026-08-09T18:48:15+0800,supported,Trigger list includes sharp braking noise at the stated strength.,3,2026-08-09T20:12:26+0800,AGREE,supported,independent agreement
SF-001-P02,SF-001,Flashing carriage lights were one of the participant's strongest triggers.,supported,Flashing carriage lights are explicitly included in the participant's list of strongest triggers.,3,2026-08-09T18:49:29+0800,supported,Trigger list includes flashing carriage lights at the stated strength.,3,2026-08-09T20:13:21+0800,AGREE,supported,independent agreement
SF-001-P03,SF-001,Crowding was one of the participant's strongest triggers.,supported,Crowding is directly listed alongside the other strongest triggers.,3,2026-08-09T18:50:54+0800,supported,Trigger list includes crowding at the stated strength.,3,2026-08-09T20:14:23+0800,AGREE,supported,independent agreement
SF-001-P04,SF-001,The participant's shoulders tightened.,supported,The source directly states that the participant's shoulders tightened.,3,2026-08-09T18:52:01+0800,supported,Explicit evidence: “My shoulders tightened.”,3,2026-08-09T20:15:32+0800,AGREE,supported,independent agreement
SF-001-P05,SF-001,The participant's heart raced.,supported,The participant directly reports that their heart raced.,3,2026-08-09T18:53:19+0800,supported,Explicit evidence: “my heart raced.”,3,2026-08-09T20:16:24+0800,AGREE,supported,independent agreement
SF-001-P06,SF-001,The participant felt panicked.,supported,The source explicitly says that the participant felt panicked.,3,2026-08-09T18:54:48+0800,supported,Explicit evidence: “I felt panicked.”,3,2026-08-09T20:17:23+0800,AGREE,supported,independent agreement
SF-002-P01,SF-002,The participant covered their ears.,supported,The participant directly states that they covered their ears.,3,2026-08-09T18:55:59+0800,supported,Explicit evidence: “I covered my ears.”,3,2026-08-09T20:18:29+0800,AGREE,supported,independent agreement
SF-002-P02,SF-002,The participant focused on slow breathing.,supported,The source directly reports that the participant focused on slow breathing.,3,2026-08-09T18:57:21+0800,supported,Explicit evidence: “focused on slow breathing.”,3,2026-08-09T20:19:18+0800,AGREE,supported,independent agreement
SF-002-P03,SF-002,The participant left at the next stop.,supported,The participant explicitly says they left at the next stop.,3,2026-08-09T18:58:25+0800,supported,Explicit evidence: “left at the next stop.”,3,2026-08-09T20:20:14+0800,AGREE,supported,independent agreement
SF-002-P04,SF-002,A quieter carriage would have helped the participant.,supported,The participant states that a quieter carriage would have helped.,3,2026-08-09T18:59:40+0800,supported,The helpful-change statement includes a quieter carriage.,3,2026-08-09T20:21:17+0800,AGREE,supported,independent agreement
SF-002-P05,SF-002,A warning before the alarm would have helped the participant.,supported,The source says that a warning before the alarm would have helped.,3,2026-08-09T19:01:06+0800,supported,The helpful-change statement includes advance warning before the alarm.,3,2026-08-09T20:22:27+0800,AGREE,supported,independent agreement
SF-002-P06,SF-002,The repeated announcements did not help because they added more noise.,supported,The source explicitly links the announcements not helping to their adding more noise.,3,2026-08-09T19:02:14+0800,supported,Both outcome and cause match: announcements did not help because they added noise.,3,2026-08-09T20:23:20+0800,AGREE,supported,independent agreement
SF-003-P01,SF-003,The squeeze interaction seemed useful because it would give the participant's hands a focus.,supported,The source states that the squeeze interaction seemed useful because it would give the participant's hands a focus.,3,2026-08-09T19:03:43+0800,supported,Both parts match the source: useful squeeze interaction and hands having a focus.,3,2026-08-09T20:24:24+0800,AGREE,supported,independent agreement
SF-003-P02,SF-003,Gentle haptics might help the participant pace their breathing.,supported,The participant directly says gentle haptics might help them pace their breathing.,3,2026-08-09T19:05:25+0800,supported,The source retains the same cautious claim about haptics helping breathing pace.,3,2026-08-09T20:25:45+0800,AGREE,supported,independent agreement
SF-003-P03,SF-003,The participant would avoid scent because it could be another trigger.,supported,The source says the participant would avoid scent because it could be another trigger.,3,2026-08-09T19:07:20+0800,supported,Avoiding scent and the trigger reason are both present in the source.,3,2026-08-09T20:26:54+0800,AGREE,supported,independent agreement
SF-003-P04,SF-003,The participant wanted every feature to be optional.,supported,The participant explicitly says they would want every feature to be optional.,3,2026-08-09T19:08:57+0800,supported,The source sets optionality as the participant's preference for every feature.,3,2026-08-09T20:28:20+0800,AGREE,supported,independent agreement
SF-004-P01,SF-004,The participant covered their ears.,supported,The source directly reports that the participant covered their ears.,3,2026-08-09T19:10:02+0800,supported,Exact behaviour is present in the source: covering the ears.,3,2026-08-09T20:29:24+0800,AGREE,supported,independent agreement
SF-004-P02,SF-004,The participant focused on slow breathing.,supported,The participant explicitly reports focusing on slow breathing.,3,2026-08-09T19:11:18+0800,supported,The source includes focusing on slow breathing.,3,2026-08-09T20:30:35+0800,AGREE,supported,independent agreement
SF-004-P03,SF-004,The participant left at the next stop.,supported,The source states that the participant left at the next stop.,3,2026-08-09T19:12:45+0800,supported,The source includes leaving at the next stop.,3,2026-08-09T20:31:29+0800,AGREE,supported,independent agreement
SF-004-P04,SF-004,A quieter carriage would have helped the participant.,supported,A quieter carriage is directly identified by the participant as something that would have helped.,3,2026-08-09T19:13:54+0800,supported,Quieter carriage appears in the source as a helpful change.,3,2026-08-09T20:32:30+0800,AGREE,supported,independent agreement
SF-004-P05,SF-004,A warning before the alarm would have helped the participant.,supported,The participant directly identifies a warning before the alarm as something that would have helped.,3,2026-08-09T19:15:14+0800,supported,Warning before the alarm appears in the source as a helpful change.,3,2026-08-09T20:33:38+0800,AGREE,supported,independent agreement
SF-004-P06,SF-004,The repeated announcements did not help because they added more noise.,supported,The participant explicitly says the repeated announcements did not help because they added more noise.,3,2026-08-09T19:16:45+0800,supported,The source gives the same negative outcome and reason: more noise from repeated announcements.,3,2026-08-09T20:34:29+0800,AGREE,supported,independent agreement
SF-005-P01,SF-005,Sharp braking noise was one of the participant's strongest triggers.,supported,Sharp braking noise is directly included in the source as one of the strongest triggers.,3,2026-08-09T19:17:58+0800,supported,The trigger list explicitly contains sharp braking noise.,3,2026-08-09T20:35:27+0800,AGREE,supported,independent agreement
