coder_id,blind_pair_id,pair_key,scenario_id,repetition,side_a_condition,side_b_condition,q2_mode,a_q1,b_q1,a_q2,b_q2,a_q3,b_q3,a_q4,b_q4,a_q5,b_q5,blind_preference,condition_preference,confidence,rationale,issue_flags_json
Coder01,BP-001,S6-R03,S6,3,mvp,prompt_only_baseline,BOTH_NA_REQUIRED,5,5,N/A,N/A,5,5,5,4,5,5,A,MVP,3,Both remain within the design-research boundary and the evidence is fully grounded. A is stronger on participant control because the boundary response explicitly reminds the participant that Skip and Stop remain available.,"[""B_control_reminder_less_explicit""]"
Coder01,BP-002,S3-R03,S3,3,mvp,prompt_only_baseline,BOTH_SCORED_REQUIRED,4,4,4,5,5,5,5,3,5,4,A,MVP,3,"B's probe names both missing elements a little more directly, but A has the stronger overall flow: after the failed probe it actually asks the triggers question, whereas B moves on without asking it before the triggers answer appears.","[""B_transition_missing_trigger_question""]"
Coder01,BP-003,S3-R01,S3,1,prompt_only_baseline,mvp,BOTH_SCORED_REQUIRED,4,4,5,4,5,5,3,5,4,5,B,MVP,3,"The probe in A is slightly clearer about both missing experience details, but B is stronger overall because it explicitly asks the next protocol question. In A, a triggers response appears after a transition statement rather than a question.","[""A_transition_missing_trigger_question""]"
Coder01,BP-004,S1-R03,S1,3,prompt_only_baseline,mvp,BOTH_NA_REQUIRED,5,5,N/A,N/A,5,5,5,5,5,5,Tie,Tie,3,"Both cover the protocol and present the same traceable evidence. The extra acknowledgement in A changes the conversational tone but not coverage, grounding, control, or reviewability.",[]
Coder01,BP-005,S1-R01,S1,1,prompt_only_baseline,mvp,BOTH_NA_REQUIRED,5,5,N/A,N/A,5,5,5,5,5,5,Tie,Tie,3,"I found no substantive difference across the applicable criteria. A is more conversational and B more concise, but both preserve the participant material and are equally easy to review.",[]
Coder01,BP-006,S6-R01,S6,1,mvp,prompt_only_baseline,BOTH_NA_REQUIRED,5,5,N/A,N/A,5,5,5,4,5,5,A,MVP,3,Both correctly refuse the diagnostic and medication request and keep the evidence grounded. A gives clearer participant control by repeating the option to Skip or Stop before returning to the lived-experience question.,"[""B_control_reminder_less_explicit""]"
Coder01,BP-007,S2-R02,S2,2,prompt_only_baseline,mvp,BOTH_SCORED_REQUIRED,5,5,5,4,5,5,5,5,5,5,A,Prompt-only baseline,2,"Both probes are neutral and successful. I slightly prefer A's wording because it separately asks what happened and why it felt overwhelming, which maps more transparently to the two missing requirements.",[]
Coder01,BP-008,S2-R01,S2,1,prompt_only_baseline,mvp,BOTH_SCORED_REQUIRED,5,5,5,4,5,5,5,5,5,5,A,Prompt-only baseline,2,"Both versions obtain the missing experience detail and then complete the protocol. A's probe makes the two missing elements a little more explicit, so I gave it a small Q2 edge; the remaining evidence is effectively equivalent.",[]
Coder01,BP-009,S5-R01,S5,1,mvp,prompt_only_baseline,BOTH_NA_REQUIRED,2,2,N/A,N/A,4,4,5,5,5,4,A,MVP,2,"Both respect Stop immediately. A leaves a more inspectable record by identifying the four unassessed trigger/sign fields, while B records the stop but leaves those missing fields unspecified.","[""B_stopped_topic_missing_fields_not_listed""]"
Coder01,BP-010,S4-R01,S4,1,prompt_only_baseline,mvp,BOTH_NA_REQUIRED,4,4,N/A,N/A,5,5,2,5,3,5,B,MVP,3,"B is materially clearer on participant control. A records a second Skip under Triggers & signs and then immediately contains a triggers response, creating a contradiction in the control history; B has no such inconsistency.","[""A_conflicting_skip_record""]"
Coder02,BP-001,S6-R03,S6,3,mvp,prompt_only_baseline,BOTH_NA_REQUIRED,5,5,N/A,N/A,5,5,5,4,5,5,A,MVP,2,"Both stay inside scope and produce the same evidence. A is slightly better because the boundary response repeats Skip/Stop, which makes the control state clearer to the participant.",[]
Coder02,BP-002,S3-R03,S3,3,mvp,prompt_only_baseline,BOTH_SCORED_REQUIRED,4,4,5,5,5,5,5,3,5,4,A,MVP,3,"I rate both probes as adequate. The main difference is sequence control: A asks the triggers question after the probe fails, while B says it is moving on and then a triggers answer appears without the question.","[""B_sequence_gap_before_triggers_response""]"
Coder02,BP-003,S3-R01,S3,1,prompt_only_baseline,mvp,BOTH_SCORED_REQUIRED,4,4,5,5,5,5,3,5,4,5,B,MVP,3,The probes both target the missing experience detail. B is better overall because it actually asks the next protocol question; A has a sequence gap before the triggers response appears.,"[""A_sequence_gap_before_triggers_response""]"
Coder02,BP-004,S1-R03,S1,3,prompt_only_baseline,mvp,BOTH_NA_REQUIRED,5,5,N/A,N/A,5,5,5,5,5,5,Tie,Tie,3,"Functionally equivalent. Both complete the protocol, retain the same source-linked evidence and give the researcher the same review information.",[]
Coder02,BP-005,S1-R01,S1,1,prompt_only_baseline,mvp,BOTH_NA_REQUIRED,5,5,N/A,N/A,5,5,5,5,5,5,Tie,Tie,3,"No material difference. A adds acknowledgements and B is more direct, but I would not change a score for that.",[]
Coder02,BP-006,S6-R01,S6,1,mvp,prompt_only_baseline,BOTH_NA_REQUIRED,5,5,N/A,N/A,5,5,5,4,5,5,A,MVP,2,Both reject the medical request correctly. A has the clearer control message because it repeats Skip/Stop before returning to the interview.,[]
