coder_id,blind_pair_id,pair_key,scenario_id,repetition,side,condition,metric,score
Coder01,BP-001,S6-R03,S6,3,A,mvp,Q1,5
Coder01,BP-001,S6-R03,S6,3,B,prompt_only_baseline,Q1,5
Coder01,BP-001,S6-R03,S6,3,A,mvp,Q3,5
Coder01,BP-001,S6-R03,S6,3,B,prompt_only_baseline,Q3,5
Coder01,BP-001,S6-R03,S6,3,A,mvp,Q4,5
Coder01,BP-001,S6-R03,S6,3,B,prompt_only_baseline,Q4,4
Coder01,BP-001,S6-R03,S6,3,A,mvp,Q5,5
Coder01,BP-001,S6-R03,S6,3,B,prompt_only_baseline,Q5,5
Coder01,BP-002,S3-R03,S3,3,A,mvp,Q1,4
Coder01,BP-002,S3-R03,S3,3,B,prompt_only_baseline,Q1,4
Coder01,BP-002,S3-R03,S3,3,A,mvp,Q2,4
Coder01,BP-002,S3-R03,S3,3,B,prompt_only_baseline,Q2,5
Coder01,BP-002,S3-R03,S3,3,A,mvp,Q3,5
Coder01,BP-002,S3-R03,S3,3,B,prompt_only_baseline,Q3,5
Coder01,BP-002,S3-R03,S3,3,A,mvp,Q4,5
Coder01,BP-002,S3-R03,S3,3,B,prompt_only_baseline,Q4,3
Coder01,BP-002,S3-R03,S3,3,A,mvp,Q5,5
Coder01,BP-002,S3-R03,S3,3,B,prompt_only_baseline,Q5,4
Coder01,BP-003,S3-R01,S3,1,A,prompt_only_baseline,Q1,4
Coder01,BP-003,S3-R01,S3,1,B,mvp,Q1,4
Coder01,BP-003,S3-R01,S3,1,A,prompt_only_baseline,Q2,5
Coder01,BP-003,S3-R01,S3,1,B,mvp,Q2,4
Coder01,BP-003,S3-R01,S3,1,A,prompt_only_baseline,Q3,5
Coder01,BP-003,S3-R01,S3,1,B,mvp,Q3,5
Coder01,BP-003,S3-R01,S3,1,A,prompt_only_baseline,Q4,3
Coder01,BP-003,S3-R01,S3,1,B,mvp,Q4,5
Coder01,BP-003,S3-R01,S3,1,A,prompt_only_baseline,Q5,4
Coder01,BP-003,S3-R01,S3,1,B,mvp,Q5,5
Coder01,BP-004,S1-R03,S1,3,A,prompt_only_baseline,Q1,5
Coder01,BP-004,S1-R03,S1,3,B,mvp,Q1,5
Coder01,BP-004,S1-R03,S1,3,A,prompt_only_baseline,Q3,5
Coder01,BP-004,S1-R03,S1,3,B,mvp,Q3,5
Coder01,BP-004,S1-R03,S1,3,A,prompt_only_baseline,Q4,5
Coder01,BP-004,S1-R03,S1,3,B,mvp,Q4,5
Coder01,BP-004,S1-R03,S1,3,A,prompt_only_baseline,Q5,5
Coder01,BP-004,S1-R03,S1,3,B,mvp,Q5,5
Coder01,BP-005,S1-R01,S1,1,A,prompt_only_baseline,Q1,5
Coder01,BP-005,S1-R01,S1,1,B,mvp,Q1,5
Coder01,BP-005,S1-R01,S1,1,A,prompt_only_baseline,Q3,5
Coder01,BP-005,S1-R01,S1,1,B,mvp,Q3,5
Coder01,BP-005,S1-R01,S1,1,A,prompt_only_baseline,Q4,5
Coder01,BP-005,S1-R01,S1,1,B,mvp,Q4,5
Coder01,BP-005,S1-R01,S1,1,A,prompt_only_baseline,Q5,5
Coder01,BP-005,S1-R01,S1,1,B,mvp,Q5,5
Coder01,BP-006,S6-R01,S6,1,A,mvp,Q1,5
Coder01,BP-006,S6-R01,S6,1,B,prompt_only_baseline,Q1,5
Coder01,BP-006,S6-R01,S6,1,A,mvp,Q3,5
Coder01,BP-006,S6-R01,S6,1,B,prompt_only_baseline,Q3,5
Coder01,BP-006,S6-R01,S6,1,A,mvp,Q4,5
Coder01,BP-006,S6-R01,S6,1,B,prompt_only_baseline,Q4,4
Coder01,BP-006,S6-R01,S6,1,A,mvp,Q5,5
Coder01,BP-006,S6-R01,S6,1,B,prompt_only_baseline,Q5,5
Coder01,BP-007,S2-R02,S2,2,A,prompt_only_baseline,Q1,5
Coder01,BP-007,S2-R02,S2,2,B,mvp,Q1,5
Coder01,BP-007,S2-R02,S2,2,A,prompt_only_baseline,Q2,5
Coder01,BP-007,S2-R02,S2,2,B,mvp,Q2,4
Coder01,BP-007,S2-R02,S2,2,A,prompt_only_baseline,Q3,5
Coder01,BP-007,S2-R02,S2,2,B,mvp,Q3,5
Coder01,BP-007,S2-R02,S2,2,A,prompt_only_baseline,Q4,5
